row_id,question_id,answer,answer_type,plan_length,max_depth,retrieval_count,arithmetic_count,loop_count,if_count,logic_complexity,num_tables,total_cells,total_tokens
0,q_0,NLLB-200-1.3B. 64.71,numerical,8,2,2,3,2,0,4,1,100,727
1,q_1,neural translation,categorical,6,1,3,0,0,1,2,2,48,480
2,q_2,"Llama3-8B: 0.945, Llama3-70B: 0.85, Pythia-6.9B: 0.525, GPT-J: 0.435",numerical,4,1,1,1,1,0,2,1,36,336
3,q_3,divison,categorical,3,0,1,1,0,0,0,1,36,336
4,q_4,Llama3-8B,categorical,5,1,1,2,1,0,2,1,36,336
5,q_5,"7.2, 9.05, 10.0, 13.6",numerical,4,1,1,1,1,0,2,1,119,889
6,q_6,"English, Nepali, Sinhala, Hindi, Gujarati, Finnish, Estonian, Latvian, Kazakh",categorical,2,0,1,0,0,0,0,1,119,889
7,q_7,Uralic,categorical,5,1,1,2,1,0,2,1,119,889
8,q_8,X→En,categorical,8,1,3,2,0,1,2,2,72,820
9,q_9,Biomed,categorical,9,3,2,4,2,1,6,1,78,1009
10,q_10,CLS,categorical,5,1,1,2,1,0,2,1,78,1009
11,q_11,No,categorical,11,1,2,4,0,1,2,1,16,505
12,q_12,"WizardLM-2-8x22B, 67.6",numerical,6,1,1,3,1,0,2,1,90,709
13,q_13,Codestral,categorical,6,2,2,2,1,1,4,1,90,709
14,q_14,84.92,numerical,6,0,2,3,0,0,0,2,143,1317
15,q_15,Webtables,categorical,7,1,2,0,0,1,2,1,50,702
16,q_16,2,numerical,5,1,1,2,1,0,2,1,63,689
17,q_17,without tool use,categorical,13,2,4,2,1,2,5,1,99,1878
18,q_18,0.1066,numerical,4,0,1,2,0,0,0,1,130,1109
19,q_19,ProntoQA and ProsQA,categorical,5,2,2,1,1,1,4,1,70,965
20,q_20,Yes,categorical,7,3,3,0,2,2,7,1,108,2188
21,q_21,Romanized script,categorical,6,0,3,2,0,0,0,1,99,1221
22,q_22,No,categorical,6,0,3,2,0,0,0,1,99,1221
23,q_23,SimDRC,categorical,4,0,2,1,0,0,0,1,276,1553
24,q_24,Yes,categorical,5,0,2,2,0,0,0,1,276,1553
25,q_25,"IPS, Beam, top-k, nucleus, greedy, constractive",categorical,4,0,2,1,0,0,0,1,276,1553
26,q_26,ChatGPT,categorical,5,0,2,2,0,0,0,2,80,578
27,q_27,"fr, de, ru",categorical,4,1,1,1,1,0,2,2,80,578
28,q_28,"Baichuan2-IEPILE, OneKE",numerical,5,0,2,2,0,0,0,1,144,1062
29,q_29,2,numerical,6,2,3,1,1,1,4,1,144,1062
30,q_30,Japanese,categorical,7,2,3,2,1,1,4,1,242,1732
31,q_31,6.1,numerical,7,1,1,4,1,0,2,1,206,1615
32,q_32,1,numerical,6,2,2,2,1,1,4,1,105,1046
33,q_33,out of English,categorical,8,1,3,2,0,1,2,2,340,4863
34,q_34,ARPO,categorical,5,2,2,1,1,1,4,1,84,1331
35,q_35,CUNI-GA,categorical,3,0,1,1,0,0,0,1,205,1329
36,q_36,CUNI-MH,categorical,3,0,1,1,0,0,0,1,205,1329
37,q_37,CycleL,categorical,6,2,3,1,1,1,4,2,320,2178
38,q_38,81.75,numerical,3,0,1,1,0,0,0,1,40,487
39,q_39,Humanitarian,categorical,3,0,1,1,0,0,0,1,63,755
40,q_40,"ARC-E, MMLU and SciQ",categorical,7,1,3,2,1,0,2,1,165,961
41,q_41,"HelloSwag, PiQA",categorical,18,4,9,3,5,3,12,1,165,961
42,q_42,GPT-4o,categorical,7,1,3,2,1,0,2,1,935,3722
43,q_43,"General Tasks, Mathematics & Science and Multilingual",categorical,9,2,4,3,1,1,4,1,189,1063
44,q_44,Korean,categorical,7,1,3,2,1,0,2,1,84,631
45,q_45,Qwen2-0.5B on GPQA,numerical,10,3,6,1,2,1,6,2,351,2037
46,q_46,recent one: Twitter2017 ,numerical,11,1,4,4,1,1,3,1,132,1038
47,q_47,"Gemma-3, Qwen2.5 0.5B, Llama-3.1",numerical,13,3,8,2,2,2,7,1,256,1691
48,q_48,6,numerical,11,1,2,4,0,1,2,1,260,4090
49,q_49,Korean,categorical,8,1,2,4,1,0,2,1,182,3648
50,q_50,"Mistral/Korean, Mistral/Swahili, Llama-2-13B/Swahili, Llama-3-8B/Swahili",numerical,10,1,4,3,2,0,3,2,374,5214
